2026-04-14 12:34:44 | INFO | Shutting down application
2026-04-14 12:34:44 | INFO | Cleaning up resources
2026-04-14 12:34:44 | INFO | Cleaning up MLXVLMHandler resources
2026-04-14 12:34:44 | INFO | Inference worker thread stopped
2026-04-14 12:34:45 | INFO | MLXVLMHandler cleanup completed successfully
2026-04-14 12:34:45 | INFO | Resources cleaned up successfully
2026-04-14 12:34:53 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 12:34:53 | INFO | Server configuration complete.
2026-04-14 12:34:53 | INFO | Starting Uvicorn server...
2026-04-14 12:34:53 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 12:34:57 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 12:34:57 | INFO | Inference worker thread started
2026-04-14 12:34:57 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-14 12:34:57 | INFO | MLX handler initialized successfully
2026-04-14 12:51:32 | INFO | Shutting down application
2026-04-14 12:51:32 | INFO | Cleaning up resources
2026-04-14 12:51:32 | INFO | Cleaning up MLXVLMHandler resources
2026-04-14 12:51:32 | INFO | Inference worker thread stopped
2026-04-14 12:51:33 | INFO | MLXVLMHandler cleanup completed successfully
2026-04-14 12:51:33 | INFO | Resources cleaned up successfully
2026-04-14 12:51:41 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 12:51:41 | INFO | Server configuration complete.
2026-04-14 12:51:41 | INFO | Starting Uvicorn server...
2026-04-14 12:51:41 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 12:51:46 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 12:51:46 | INFO | Inference worker thread started
2026-04-14 12:51:46 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-14 12:51:46 | INFO | MLX handler initialized successfully
2026-04-14 12:54:03 | INFO | Shutting down application
2026-04-14 12:54:03 | INFO | Cleaning up resources
2026-04-14 12:54:03 | INFO | Cleaning up MLXVLMHandler resources
2026-04-14 12:54:03 | INFO | Inference worker thread stopped
2026-04-14 12:54:04 | INFO | MLXVLMHandler cleanup completed successfully
